iter	Passed	Remaining
212	2392	20070
213	2398	20020
214	2405	19975
215	2411	19913
216	2420	19886
217	2431	19874
218	2439	19836
219	2444	19780
220	2450	19724
221	2460	19704
222	2465	19642
223	2470	19586
224	2476	19538
225	2482	19485
226	2493	19474
227	2499	19423
228	2507	19391
229	2514	19348
230	2528	19361
231	2535	19324
232	2540	19265
233	2557	19303
234	2562	19247
235	2568	19199
236	2573	19145
237	2578	19087
238	2587	19064
239	2592	19012
240	2618	19110
241	2625	19069
242	2633	19044
243	2638	18990
244	2643	18938
245	2650	18896
246	2657	18860
247	2675	18902
248	2681	18857
249	2687	18812
250	2693	18769
251	2699	18728
252	2705	18685
253	2711	18638
254	2718	18604
255	2723	18553
256	2728	18503
257	2735	18467
258	2740	18420
259	2749	18399
260	2765	18424
261	2770	18377
262	2774	18327
263	2802	18427
264	2817	18444
265	2822	18398
266	2828	18361
267	2834	18315
268	2841	18285
269	2850	18265
270	2858	18234
271	2866	18210
272	2878	18208
273	2884	18167
274	2889	18126
275	2897	18095
276	2902	18056
277	2912	18038
278	2919	18011
279	2927	17982
280	2934	17950
281	2939	17907
282	2949	17893
283	2964	17910
284	2969	17869
285	2976	17837
286	2983	17804
287	2995	17808
288	3000	17763
289	3005	17723
290	3017	17723
291	3026	17704
292	3031	17663
293	3037	17627
294	3050	17629
295	3057	17600
296	3063	17566
297	3068	17527
298	3077	17507
299	3087	17498
300	3094	17464
301	3098	17423
302	3118	17466
303	3125	17436
304	3130	17396
305	3135	17358
306	3142	17328
307	3151	17311
308	3159	17288
309	3181	17344
310	3186	17303
311	3192	17271
312	3196	17226
313	3212	17250
314	3226	17258
315	3231	17223
316	3236	17182
317	3245	17167
318	3258	17170
319	3263	17134
320	3268	17096
321	3276	17074
322	3281	17036
323	3285	16996
324	3308	17049
325	3313	17012
326	3316	16967
327	3341	17035
328	3350	17017
329	3358	16997
330	3367	16982
331	3376	16963
332	3382	16934
333	3394	16931
334	3399	16898
335	3408	16878
336	3416	16859
337	3426	16848
338	3431	16812
339	3438	16786
340	3445	16763
341	3451	16733
342	3455	16695
343	3461	16662
344	3465	16625
345	3475	16611
346	3480	16579
347	3487	16555
348	3491	16519
349	3497	16489
350	3506	16471
351	3510	16437
352	3517	16410
353	3522	16376
354	3527	16344
355	3534	16321
356	3540	16294
357	3545	16263
358	3552	16240
359	3558	16209
360	3564	16181
361	3569	16153
362	3574	16121
363	3580	16090
364	3586	16064
365	3590	16030
366	3597	16007
367	3603	15981
368	3608	15951
369	3615	15928
370	3619	15894
371	3642	15938
372	3656	15948
373	3661	15919
374	3674	15921
375	3678	15890
376	3686	15869
377	3691	15839
378	3698	15817
379	3716	15844
380	3721	15813
381	3728	15792
382	3735	15769
383	3739	15737
384	3744	15709
385	3750	15681
386	3754	15649
387	3763	15633
388	3773	15629
389	3779	15604
390	3784	15574
391	3799	15585
392	3803	15554
393	3817	15559
394	3838	15595
395	3854	15613
396	3863	15598
397	3871	15584
398	3878	15560
399	3883	15532
400	3888	15505
401	3896	15487
402	3914	15511
403	3919	15482
404	3925	15460
405	3934	15445
406	3938	15414
407	3944	15391
408	3947	15355
409	3952	15326
410	3959	15308
411	3964	15282
412	3970	15257
413	3979	15246
414	3984	15219
415	3993	15204
416	3998	15178
417	4003	15151
418	4010	15133
419	4016	15108
420	4037	15144
421	4045	15127
422	4052	15110
423	4069	15126
424	4076	15106
425	4080	15078
426	4098	15097
427	4102	15069
428	4109	15048
429	4115	15025
430	4120	14998
431	4127	14979
432	4147	15009
433	4166	15035
434	4176	15025
435	4181	15000
436	4196	15009
437	4201	14983
438	4207	14961
439	4215	14945
440	4238	14983
441	4244	14961
442	4250	14937
443	4261	14934
444	4267	14911
445	4275	14898
446	4280	14872
447	4287	14853
448	4294	14834
449	4304	14827
450	4310	14805
451	4317	14785
452	4326	14775
453	4333	14755
454	4343	14748
455	4364	14776
456	4440	14991
457	4492	15126
458	4514	15155
459	4532	15175
460	4545	15174
461	4570	15216
462	4592	15245
463	4600	15229
464	4608	15214
465	4615	15192
466	4625	15183
467	4631	15161
468	4668	15241
469	4704	15315
470	4716	15311
471	4729	15309
472	4735	15286
473	4741	15264
474	4747	15242
475	4778	15300
476	4815	15376
477	4839	15410
478	4862	15441
479	4884	15466
480	4897	15466
481	4907	15456
482	4935	15500
483	4951	15508
484	4966	15513
485	4985	15530
486	4990	15505
487	5015	15540
488	5022	15518
489	5039	15529
490	5050	15522
491	5065	15526
492	5072	15505
493	5081	15490
494	5097	15497
495	5103	15476
496	5113	15463
497	5121	15446
498	5131	15436
499	5138	15416
500	5154	15423
501	5163	15408
502	5177	15410
503	5185	15392
504	5194	15377
505	5203	15362
506	5211	15345
507	5218	15326
508	5224	15305
509	5234	15293
510	5243	15279
511	5250	15259
512	5258	15243
513	5265	15224
514	5277	15218
515	5283	15194
516	5297	15194
517	5302	15170
518	5313	15161
519	5328	15164
520	5336	15148
521	5345	15136
522	5356	15127
523	5366	15115
524	5373	15097
525	5383	15085
526	5398	15090
527	5406	15071
528	5412	15050
529	5417	15026
530	5425	15009
531	5444	15022
532	5450	15001
533	5463	15000
534	5474	14990
535	5480	14967
536	5494	14969
537	5507	14966
538	5515	14951
539	5524	14937
540	5541	14945
541	5551	14933
542	5562	14924
543	5579	14932
544	5584	14908
545	5594	14897
546	5598	14872
547	5609	14863
548	5616	14843
549	5624	14829
550	5630	14806
551	5638	14790
552	5643	14765
553	5648	14742
554	5657	14729
555	5662	14706
556	5671	14691
557	5676	14669
558	5680	14643
559	5689	14630
560	5706	14637
561	5718	14631
562	5724	14612
563	5733	14597
564	5738	14574
565	5747	14561
566	5754	14543
567	5760	14522
568	5766	14503
569	5771	14480
570	5781	14467
571	5791	14458
572	5815	14481
573	5835	14497
574	5844	14483
575	5855	14475
576	5860	14453
577	5869	14439
578	5884	14441
579	5900	14446
580	5923	14466
581	5934	14459
582	5963	14493
583	5980	14500
584	5997	14506
585	6026	14540
586	6033	14523
587	6040	14505
588	6048	14490
589	6054	14469
590	6068	14467
591	6074	14448
592	6087	14444
593	6096	14429
594	6117	14446
595	6123	14424
596	6130	14407
597	6135	14384
598	6140	14361
599	6150	14351
600	6155	14329
601	6166	14319
602	6171	14297
603	6180	14284
604	6185	14261
605	6190	14240
606	6198	14225
607	6203	14203
608	6211	14188
609	6226	14187
610	6231	14166
611	6238	14147
612	6255	14153
613	6263	14137
614	6271	14124
615	6279	14108
616	6287	14093
617	6295	14077
618	6302	14061
619	6309	14044
620	6317	14029
621	6325	14013
622	6333	13998
623	6340	13982
624	6352	13974
625	6367	13976
626	6375	13960
627	6384	13948
628	6396	13942
629	6401	13921
630	6409	13906
631	6414	13885
632	6420	13865
633	6427	13849
634	6433	13830
635	6445	13822
636	6452	13806
637	6462	13796
638	6467	13775
639	6492	13796
640	6496	13774
641	6502	13755
642	6508	13736
643	6513	13715
644	6523	13703
645	6527	13682
646	6553	13704
647	6558	13683
648	6565	13666
649	6572	13649
650	6582	13639
651	6589	13624
652	6596	13608
653	6604	13592
654	6611	13575
655	6616	13554
656	6623	13540
657	6629	13521
658	6637	13506
659	6643	13489
660	6650	13472
661	6672	13485
662	6690	13491
663	6694	13470
664	6703	13457
665	6709	13439
666	6716	13422
667	6722	13405
668	6734	13397
669	6739	13378
670	6746	13361
671	6755	13349
672	6772	13353
673	6799	13377
674	6815	13377
675	6827	13371
676	6836	13360
677	6842	13341
678	6849	13325
679	6858	13314
680	6871	13309
681	6877	13291
682	6888	13282
683	6894	13263
684	6904	13255
685	6917	13249
686	6926	13238
687	6941	13238
688	6955	13235
689	6968	13229
690	6986	13234
691	6995	13222
692	7003	13208
693	7016	13203
694	7025	13191
695	7033	13177
696	7041	13163
697	7056	13162
698	7064	13148
699	7071	13131
700	7077	13115
701	7086	13103
702	7091	13084
703	7100	13071
704	7105	13052
705	7111	13034
706	7118	13018
707	7123	12998
708	7130	12984
709	7137	12967
710	7149	12961
711	7155	12943
712	7165	12934
713	7170	12915
714	7181	12906
715	7197	12907
716	7202	12887
717	7212	12878
718	7218	12861
719	7231	12855
720	7239	12841
721	7246	12826
722	7254	12813
723	7262	12799
724	7277	12799
725	7286	12786
726	7296	12777
727	7320	12790
728	7331	12782
729	7338	12766
730	7347	12755
731	7353	12737
732	7361	12724
733	7367	12706
734	7371	12687
735	7381	12676
736	7386	12658
737	7394	12644
738	7399	12625
739	7408	12614
740	7424	12615
741	7432	12601
742	7443	12592
743	7448	12574
744	7461	12568
745	7468	12553
746	7476	12540
747	7482	12524
748	7489	12509
749	7494	12491
750	7500	12474
751	7507	12459
752	7513	12441
753	7530	12444
754	7539	12432
755	7550	12424
756	7566	12424
757	7574	12411
758	7582	12397
759	7590	12383
760	7600	12374
761	7611	12365
762	7615	12347
763	7628	12340
764	7633	12323
765	7658	12337
766	7680	12346
767	7686	12330
768	7692	12314
769	7697	12295
770	7704	12280
771	7715	12272
772	7724	12261
773	7746	12269
774	7753	12254
775	7758	12237
776	7789	12260
777	7797	12247
778	7809	12240
779	7817	12226
780	7828	12219
781	7836	12204
782	7844	12192
783	7861	12193
784	7871	12183
785	7877	12167
786	7884	12152
787	7891	12137
788	7896	12120
789	7905	12109
790	7910	12091
791	7919	12079
792	7935	12078
793	7951	12077
794	7956	12059
795	7964	12047
796	7972	12033
797	7982	12023
798	7987	12006
799	7994	11991
800	8002	11979
801	8009	11964
802	8017	11951
803	8023	11935
804	8040	11935
805	8058	11938
806	8066	11924
807	8072	11908
808	8090	11910
809	8097	11896
810	8117	11901
811	8135	11903
812	8140	11885
813	8149	11874
814	8154	11857
815	8169	11854
816	8183	11849
817	8189	11833
818	8200	11824
819	8205	11807
820	8232	11822
821	8237	11805
822	8245	11792
823	8251	11776
824	8259	11762
825	8265	11748
826	8279	11743
827	8288	11732
828	8295	11718
829	8305	11707
830	8311	11692
831	8318	11678
832	8325	11663
833	8334	11652
834	8351	11651
835	8356	11634
836	8364	11622
837	8369	11605
838	8374	11588
839	8386	11580
840	8394	11568
841	8416	11574
842	8421	11557
843	8430	11546
844	8434	11529
845	8439	11512
846	8449	11502
847	8454	11485
848	8464	11475
849	8469	11458
850	8478	11446
851	8483	11430
852	8503	11434
853	8519	11432
854	8526	11418
855	8534	11405
856	8541	11392
857	8547	11376
858	8566	11378
859	8581	11374
860	8585	11357
861	8593	11345
862	8600	11330
863	8604	11313
864	8611	11299
865	8617	11283
866	8625	11272
867	8630	11255
868	8640	11245
869	8645	11228
870	8649	11211
871	8660	11203
872	8666	11187
873	8676	11178
874	8681	11161
875	8687	11147
876	8692	11130
877	8708	11128
878	8712	11111
879	8721	11099
880	8726	11083
881	8736	11073
882	8755	11076
883	8766	11067
884	8778	11059
885	8787	11048
886	8797	11038
887	8806	11027
888	8815	11016
889	8821	11002
890	8828	10988
891	8859	11004
892	8875	11002
893	8879	10985
894	8887	10972
895	8891	10956
896	8896	10940
897	8905	10928
898	8910	10913
899	8922	10904
900	8938	10902
901	8957	10904
902	8970	10897
903	8985	10893
904	8992	10880
905	9001	10869
906	9009	10856
907	9021	10849
908	9030	10838
909	9037	10825
910	9059	10830
911	9067	10816
912	9089	10822
913	9094	10806
914	9103	10794
915	9108	10778
916	9120	10771
917	9126	10756
918	9136	10746
919	9141	10731
920	9150	10720
921	9158	10707
922	9167	10697
923	9182	10692
924	9186	10676
925	9192	10661
926	9201	10650
927	9206	10634
928	9217	10626
929	9226	10615
930	9235	10603
931	9243	10592
932	9252	10580
933	9263	10572
934	9280	10571
935	9296	10567
936	9308	10560
937	9324	10556
938	9334	10547
939	9348	10542
940	9353	10526
941	9362	10515
942	9369	10502
943	9378	10491
944	9386	10478
945	9397	10470
946	9402	10454
947	9411	10443
948	9429	10442
949	9434	10427
950	9443	10416
951	9448	10401
952	9455	10388
953	9462	10374
954	9476	10369
955	9490	10364
956	9496	10350
957	9503	10337
958	9510	10323
959	9517	10310
960	9524	10297
961	9530	10283
962	9535	10267
963	9548	10261
964	9553	10246
965	9563	10237
966	9568	10221
967	9577	10210
968	9582	10196
969	9589	10182
970	9596	10169
971	9601	10155
972	9612	10145
973	9616	10130
974	9625	10119
975	9630	10104
976	9641	10095
977	9658	10092
978	9663	10078
979	9672	10067
980	9676	10051
981	9683	10038
982	9691	10026
983	9695	10011
984	9714	10010
985	9723	9999
986	9731	9987
987	9740	9977
988	9763	9980
989	9771	9969
990	9781	9958
991	9793	9950
992	9799	9937
993	9810	9928
994	9814	9913
995	9827	9906
996	9844	9903
997	9858	9898
998	9863	9883
999	9874	9874
1000	9879	9859
1001	9900	9860
1002	9908	9849
1003	9920	9841
1004	9942	9843
1005	9964	9846
1006	9992	9853
1007	10074	9914
1008	10141	9960
1009	10160	9958
1010	10168	9947
1011	10174	9933
1012	10186	9925
1013	10197	9915
1014	10214	9912
1015	10243	9921
1016	10260	9917
1017	10274	9911
1018	10279	9896
1019	10289	9886
1020	10295	9872
1021	10303	9859
1022	10309	9846
1023	10320	9837
1024	10327	9823
1025	10336	9812
1026	10341	9797
1027	10349	9785
1028	10356	9772
1029	10363	9760
1030	10384	9760
1031	10418	9772
1032	10469	9801
1033	10486	9796
1034	10527	9815
1035	10554	9821
1036	10589	9833
1037	10607	9830
1038	10618	9821
1039	10626	9809
1040	10647	9808
1041	10657	9798
1042	10668	9788
1043	10674	9775
1044	10686	9766
1045	10695	9755
1046	10704	9743
1047	10709	9728
1048	10722	9720
1049	10733	9710
1050	10753	9709
1051	10762	9698
1052	10770	9685
1053	10780	9675
1054	10786	9661
1055	10806	9660
1056	10813	9646
1057	10823	9636
1058	10838	9630
1059	10845	9617
1060	10850	9602
1061	10859	9591
1062	10866	9578
1063	10871	9563
1064	10882	9554
1065	10888	9539
1066	10896	9528
1067	10901	9513
1068	10907	9499
1069	10928	9498
1070	10933	9483
1071	10939	9470
1072	10947	9458
1073	10965	9454
1074	10983	9451
1075	10999	9445
1076	11013	9438
1077	11026	9430
1078	11046	9428
1079	11060	9421
1080	11077	9417
1081	11093	9412
1082	11115	9411
1083	11124	9400
1084	11139	9394
1085	11148	9382
1086	11161	9375
1087	11170	9363
1088	11223	9389
1089	11288	9424
1090	11399	9497
1091	11448	9519
1092	11487	9532
1093	11515	9536
1094	11537	9535
1095	11563	9538
1096	11577	9530
1097	11595	9525
1098	11605	9514
1099	11625	9511
1100	11647	9510
1101	11662	9503
1102	11679	9498
1103	11693	9490
1104	11713	9487
1105	11769	9513
1106	11815	9531
1107	11836	9528
1108	11850	9520
1109	11876	9522
1110	11889	9513
1111	11906	9508
1112	11939	9514
1113	11966	9517
1114	11984	9512
1115	11999	9504
1116	12011	9495
1117	12039	9498
1118	12135	9554
1119	12188	9576
1120	12259	9612
1121	12276	9606
1122	12307	9611
1123	12342	9619
1124	12358	9612
1125	12428	9646
1126	12485	9671
1127	12517	9676
1128	12540	9674
1129	12563	9672
1130	12572	9659
1131	12579	9645
1132	12585	9630
1133	12590	9614
1134	12596	9600
1135	12607	9589
1136	12618	9577
1137	12623	9562
1138	12631	9548
1139	12636	9532
1140	12641	9516
1141	12651	9505
1142	12656	9489
1143	12667	9478
1144	12683	9470
1145	12687	9454
1146	12695	9441
1147	12701	9426
1148	12711	9414
1149	12719	9401
1150	12728	9389
1151	12743	9380
1152	12750	9366
1153	12760	9354
1154	12773	9344
1155	12779	9330
1156	12783	9314
1157	12792	9301
1158	12809	9295
1159	12818	9282
1160	12831	9272
1161	12840	9260
1162	12855	9252
1163	12867	9241
1164	12886	9236
1165	12895	9223
1166	12908	9214
1167	12921	9204
1168	12927	9189
1169	12949	9186
1170	12955	9171
1171	12960	9156
1172	12969	9143
1173	12974	9128
1174	12982	9115
1175	12987	9100
1176	13001	9091
1177	13010	9078
1178	13030	9073
1179	13049	9068
1180	13057	9055
1181	13095	9062
1182	13103	9049
1183	13108	9034
1184	13114	9019
1185	13134	9014
1186	13140	9000
1187	13150	8988
1188	13159	8976
1189	13169	8963
1190	13179	8952
1191	13191	8941
1192	13205	8932
1193	13214	8920
1194	13228	8911
1195	13239	8900
1196	13246	8886
1197	13253	8872
1198	13260	8858
1199	13267	8844
1200	13272	8829
1201	13279	8816
1202	13286	8802
1203	13290	8786
1204	13298	8773
1205	13303	8758
1206	13309	8744
1207	13314	8729
1208	13319	8714
1209	13327	8701
1210	13332	8686
1211	13337	8671
1212	13345	8658
1213	13350	8643
1214	13358	8631
1215	13364	8616
1216	13369	8601
1217	13376	8587
1218	13380	8572
1219	13385	8558
1220	13394	8545
1221	13398	8530
1222	13406	8517
1223	13412	8503
1224	13418	8489
1225	13426	8476
1226	13433	8463
1227	13439	8449
1228	13444	8434
1229	13453	8422
1230	13459	8408
1231	13466	8394
1232	13474	8382
1233	13482	8369
1234	13487	8354
1235	13493	8340
1236	13512	8334
1237	13516	8319
1238	13523	8305
1239	13540	8299
1240	13549	8286
1241	13558	8274
1242	13563	8260
1243	13568	8245
1244	13576	8233
1245	13582	8219
1246	13594	8209
1247	13599	8194
1248	13606	8181
1249	13610	8166
1250	13622	8155
1251	13631	8144
1252	13637	8130
1253	13642	8115
1254	13649	8102
1255	13655	8088
1256	13661	8075
1257	13666	8060
1258	13672	8047
1259	13681	8035
1260	13691	8023
1261	13697	8010
1262	13705	7997
1263	13711	7984
1264	13718	7970
1265	13738	7965
1266	13743	7951
1267	13748	7937
1268	13757	7924
1269	13761	7910
1270	13769	7897
1271	13775	7883
1272	13780	7869
1273	13789	7858
1274	13794	7843
1275	13800	7830
1276	13817	7823
1277	13834	7815
1278	13839	7801
1279	13843	7786
1280	13861	7780
1281	13868	7767
1282	13881	7757
1283	13888	7744
1284	13895	7731
1285	13902	7718
1286	13909	7706
1287	13916	7692
1288	13922	7679
1289	13927	7665
1290	13932	7651
1291	13940	7638
1292	13953	7629
1293	13959	7616
1294	13965	7602
1295	13972	7590
1296	13977	7576
1297	13986	7564
1298	13991	7550
1299	13998	7537
1300	14003	7523
1301	14008	7510
1302	14017	7498
1303	14023	7484
1304	14027	7470
1305	14037	7459
1306	14050	7449
1307	14056	7436
1308	14061	7422
1309	14067	7409
1310	14077	7398
1311	14084	7385
1312	14088	7371
1313	14121	7372
1314	14127	7359
1315	14133	7345
1316	14139	7332
1317	14153	7323
1318	14158	7310
1319	14184	7307
1320	14202	7299
1321	14209	7287
1322	14217	7275
1323	14222	7261
1324	14228	7248
1325	14252	7244
1326	14257	7230
1327	14265	7218
1328	14270	7205
1329	14280	7193
1330	14285	7180
1331	14290	7166
1332	14312	7161
1333	14318	7148
1334	14323	7134
1335	14330	7122
1336	14335	7108
1337	14343	7096
1338	14349	7083
1339	14354	7069
1340	14360	7057
1341	14365	7043
1342	14372	7031
1343	14380	7018
1344	14384	7005
1345	14390	6991
1346	14403	6982
1347	14407	6968
1348	14413	6955
1349	14423	6944
1350	14431	6932
1351	14435	6918
1352	14442	6906
1353	14464	6901
1354	14469	6887
1355	14475	6874
1356	14482	6862
1357	14487	6849
1358	14494	6836
1359	14513	6829
1360	14519	6817
1361	14529	6805
1362	14534	6792
1363	14544	6781
1364	14559	6773
1365	14564	6759
1366	14571	6747
1367	14579	6735
1368	14587	6723
1369	14592	6710
1370	14599	6697
1371	14615	6689
1372	14634	6683
1373	14640	6670
1374	14645	6657
1375	14650	6643
1376	14661	6633
1377	14666	6620
1378	14676	6609
1379	14683	6596
1380	14693	6586
1381	14699	6573
1382	14709	6562
1383	14717	6550
1384	14726	6539
1385	14732	6526
1386	14739	6514
1387	14745	6501
1388	14753	6489
1389	14758	6476
1390	14763	6463
1391	14773	6452
1392	14778	6439
1393	14785	6427
1394	14791	6414
1395	14795	6401
1396	14807	6391
1397	14812	6378
1398	14819	6366
1399	14824	6353
1400	14831	6341
1401	14841	6330
1402	14845	6317
1403	14852	6304
1404	14873	6298
1405	14879	6286
1406	14894	6277
1407	14901	6265
1408	14906	6252
1409	14911	6239
1410	14917	6227
1411	14924	6214
1412	14930	6202
1413	14936	6189
1414	14943	6177
1415	14957	6169
1416	14962	6156
1417	14975	6146
1418	14983	6134
1419	15005	6128
1420	15010	6116
1421	15017	6104
1422	15022	6091
1423	15035	6081
1424	15041	6069
1425	15048	6057
1426	15053	6044
1427	15069	6036
1428	15077	6024
1429	15086	6013
1430	15108	6007
1431	15113	5994
1432	15120	5982
1433	15131	5972
1434	15140	5961
1435	15146	5948
1436	15152	5936
1437	15159	5924
1438	15175	5916
1439	15182	5904
1440	15189	5892
1441	15207	5884
1442	15235	5881
1443	15242	5869
1444	15250	5857
1445	15255	5844
1446	15266	5834
1447	15271	5821
1448	15299	5817
1449	15306	5805
1450	15317	5795
1451	15332	5786
1452	15338	5774
1453	15345	5762
1454	15356	5752
1455	15364	5740
1456	15370	5728
1457	15379	5717
1458	15390	5706
1459	15398	5695
1460	15403	5682
1461	15409	5670
1462	15429	5663
1463	15448	5656
1464	15454	5643
1465	15465	5633
1466	15476	5623
1467	15482	5610
1468	15487	5598
1469	15496	5587
1470	15502	5574
1471	15509	5563
1472	15514	5550
1473	15521	5538
1474	15529	5527
1475	15534	5514
1476	15540	5502
1477	15545	5490
1478	15551	5478
1479	15561	5467
1480	15567	5455
1481	15573	5443
1482	15585	5433
1483	15592	5421
1484	15599	5409
1485	15604	5397
1486	15610	5385
1487	15618	5374
1488	15626	5362
1489	15630	5350
1490	15640	5339
1491	15646	5327
1492	15656	5316
1493	15668	5306
1494	15674	5294
1495	15679	5282
1496	15689	5271
1497	15694	5259
1498	15702	5248
1499	15709	5236
1500	15720	5226
1501	15726	5214
1502	15730	5201
1503	15737	5189
1504	15742	5177
1505	15753	5167
1506	15758	5155
1507	15764	5143
1508	15770	5131
1509	15775	5119
1510	15785	5108
1511	15791	5096
1512	15804	5087
1513	15818	5077
1514	15832	5068
1515	15840	5057
1516	15850	5046
1517	15858	5035
1518	15865	5023
1519	15873	5012
1520	15881	5001
1521	15934	5004
1522	15943	4993
1523	15954	4983
1524	15959	4971
1525	15972	4961
1526	15987	4952
1527	15998	4941
1528	16016	4933
1529	16023	4922
1530	16034	4912
1531	16053	4904
1532	16060	4892
1533	16070	4881
1534	16080	4871
1535	16091	4861
1536	16106	4851
1537	16122	4843
1538	16140	4834
1539	16152	4824
1540	16158	4813
1541	16167	4802
1542	16174	4790
1543	16188	4781
1544	16195	4769
1545	16201	4757
1546	16214	4747
1547	16220	4736
1548	16224	4723
1549	16231	4712
1550	16236	4700
1551	16248	4690
1552	16254	4678
1553	16260	4666
1554	16266	4654
1555	16274	4643
1556	16280	4632
1557	16286	4620
1558	16293	4609
1559	16305	4598
1560	16312	4587
1561	16321	4576
1562	16329	4565
1563	16337	4554
1564	16347	4543
1565	16354	4532
1566	16371	4523
1567	16382	4513
1568	16390	4502
1569	16417	4496
1570	16447	4491
1571	16452	4479
1572	16476	4472
1573	16480	4460
1574	16487	4449
1575	16504	4440
1576	16511	4428
1577	16517	4417
1578	16524	4405
1579	16528	4393
1580	16548	4385
1581	16554	4374
1582	16563	4363
1583	16569	4351
1584	16578	4340
1585	16584	4329
1586	16592	4318
1587	16598	4306
1588	16608	4295
1589	16628	4287
1590	16633	4276
1591	16645	4266
1592	16658	4256
1593	16677	4247
1594	16683	4236
1595	16692	4225
1596	16709	4216
1597	16721	4206
1598	16730	4195
1599	16738	4184
1600	16744	4173
1601	16751	4161
1602	16764	4152
1603	16777	4142
1604	16785	4130
1605	16797	4120
1606	16814	4112
1607	16823	4101
1608	16831	4090
1609	16855	4083
1610	16861	4071
1611	16871	4060
1612	16877	4049
1613	16884	4038
1614	16891	4026
1615	16898	4015
1616	16905	4004
1617	16910	3992
1618	16928	3983
1619	16934	3972
1620	16959	3965
1621	16963	3953
1622	16970	3942
1623	16975	3930
1624	16980	3918
1625	16991	3908
1626	16996	3896
1627	17007	3886
1628	17019	3876
1629	17025	3864
1630	17031	3853
1631	17041	3842
1632	17046	3831
1633	17052	3819
1634	17057	3807
1635	17062	3796
1636	17074	3786
1637	17079	3774
1638	17085	3763
1639	17090	3751
1640	17100	3741
1641	17105	3729
1642	17111	3717
1643	17117	3706
1644	17123	3695
1645	17129	3683
1646	17137	3672
1647	17143	3661
1648	17150	3650
1649	17158	3639
1650	17167	3629
1651	17189	3621
1652	17195	3609
1653	17206	3599
1654	17222	3590
1655	17227	3578
1656	17237	3568
1657	17243	3556
1658	17250	3545
1659	17256	3534
1660	17266	3524
1661	17273	3512
1662	17280	3501
1663	17286	3490
1664	17292	3479
1665	17303	3469
1666	17309	3457
1667	17316	3446
1668	17321	3435
1669	17331	3424
1670	17336	3413
