iter	RMSE
187	100162.1395
188	100109.6692
189	100030.0093
190	100000.4367
191	99966.17299
192	99901.9258
193	99841.48698
194	99810.47968
195	99787.89266
196	99773.09056
197	99725.32909
198	99643.36652
199	99611.70049
200	99580.49698
201	99545.545
202	99503.09096
203	99475.6303
204	99430.71919
205	99402.01172
206	99321.92178
207	99278.38817
208	99253.72832
209	99225.8466
210	99196.70461
211	99163.66586
212	99101.96926
213	99089.35123
214	99051.68624
215	99012.76014
216	98958.05534
217	98923.37638
218	98904.27858
219	98868.00304
220	98826.6432
221	98804.81422
222	98779.54728
223	98744.62214
224	98719.23034
225	98696.51958
226	98665.86427
227	98629.09918
228	98596.34229
229	98572.7752
230	98542.80693
231	98509.63527
232	98470.47219
233	98459.37784
234	98427.71891
235	98411.79119
236	98375.16699
237	98347.76775
238	98301.07891
239	98272.74182
240	98241.8445
241	98226.56604
242	98206.79862
243	98180.65562
244	98155.01915
245	98096.28128
246	98075.56948
247	98045.22418
248	98022.00583
249	98005.68757
250	97965.5097
251	97948.72441
252	97917.76015
253	97885.04179
254	97856.92038
255	97831.02516
256	97780.80864
257	97755.47955
258	97710.55302
259	97681.87024
260	97659.7456
261	97635.75423
262	97624.08846
263	97586.02748
264	97549.9033
265	97532.62198
266	97506.54375
267	97482.52908
268	97457.67363
269	97432.44176
270	97410.74165
271	97386.02723
272	97363.54496
273	97330.50677
274	97305.79234
275	97290.86171
276	97265.90932
277	97245.72096
278	97231.64104
279	97168.13288
280	97149.48006
281	97132.15355
282	97102.12074
283	97056.50636
284	97020.94302
285	96994.78822
286	96982.8206
287	96952.69104
288	96929.32794
289	96901.74403
290	96874.46387
291	96860.26681
292	96826.17055
293	96802.85951
294	96781.02726
295	96761.33031
296	96745.48904
297	96743.63184
298	96742.05824
299	96718.02616
300	96684.12311
301	96671.56726
302	96646.45258
303	96603.88354
304	96585.05528
305	96534.97017
306	96512.85871
307	96489.82211
308	96478.14284
309	96466.91101
310	96450.17878
311	96425.74942
312	96394.62392
313	96374.80478
314	96348.36029
315	96328.79315
316	96302.37916
317	96280.96734
318	96261.31213
319	96221.91351
320	96188.15349
321	96167.42231
322	96143.16965
323	96118.22181
324	96097.75495
325	96079.98979
326	96055.69763
327	96033.8534
328	96014.07835
329	95995.62699
330	95981.51892
331	95962.58388
332	95940.57068
333	95918.09712
334	95893.26408
335	95870.88582
336	95853.19443
337	95834.65989
338	95814.80774
339	95780.81091
340	95760.03854
341	95724.80554
342	95710.4134
343	95683.93155
344	95646.14226
345	95619.3898
346	95598.46999
347	95580.99467
348	95571.81231
349	95537.21301
350	95527.51327
351	95490.52665
352	95470.79478
353	95446.08882
354	95421.59949
355	95407.31822
356	95390.11907
357	95385.06933
358	95366.02334
359	95349.24093
360	95335.95633
361	95308.2487
362	95285.51752
363	95264.05824
364	95244.6491
365	95228.52556
366	95222.63764
367	95185.15112
368	95160.86795
369	95136.70488
370	95113.11062
371	95094.72427
372	95083.24835
373	95064.57296
374	95034.35636
375	95001.37836
376	94984.73389
377	94967.68082
378	94948.08722
379	94939.18819
380	94923.25182
381	94895.69841
382	94894.32377
383	94850.90268
384	94834.71397
385	94807.09671
386	94789.09917
387	94768.20291
388	94756.40412
389	94728.94543
390	94709.39979
391	94690.28104
392	94661.1309
393	94640.08929
394	94621.61241
395	94604.50831
396	94587.25323
397	94551.60169
398	94516.22167
399	94490.15938
400	94478.74759
401	94469.76985
402	94451.65945
403	94434.30621
404	94410.47136
405	94393.94153
406	94363.34847
407	94338.42525
408	94314.66307
409	94306.61338
410	94288.29295
411	94268.71946
412	94252.70572
413	94235.9742
414	94216.3723
415	94199.14499
416	94184.61666
417	94170.60451
418	94155.6508
419	94146.9405
420	94125.08579
421	94098.19758
422	94084.1414
423	94060.40879
424	94032.43307
425	94013.35227
426	93997.66695
427	93993.94115
428	93962.36904
429	93945.83137
430	93927.89641
431	93915.9626
432	93895.99084
433	93889.21999
434	93864.96567
435	93849.46893
436	93838.15167
437	93824.71044
438	93816.79001
439	93790.15221
440	93774.696
441	93746.37146
442	93725.40848
443	93692.66679
444	93670.40512
445	93648.53019
446	93623.72284
447	93619.98305
448	93610.64491
449	93597.09467
450	93582.10665
451	93567.80373
452	93546.26799
453	93532.25492
454	93522.64754
455	93494.67824
456	93469.72881
457	93466.5824
458	93444.66893
459	93425.32794
460	93407.27578
461	93400.03991
462	93384.77318
463	93369.29608
464	93348.85774
465	93330.35064
466	93309.56151
467	93284.96733
468	93266.25232
469	93255.27092
470	93248.72206
471	93240.6428
472	93230.53882
473	93221.95022
474	93214.88177
475	93193.85667
476	93179.69458
477	93169.37504
478	93141.69356
479	93127.67853
480	93112.46473
481	93086.54305
482	93079.55934
483	93063.05254
484	93052.28
485	93037.13179
486	93013.1242
487	93002.47527
488	92990.07932
489	92977.64672
490	92962.03603
491	92951.50326
492	92929.83609
493	92916.92549
494	92897.66633
495	92881.11706
496	92864.52914
497	92850.83961
498	92837.97122
499	92818.56297
500	92806.24532
501	92783.33108
502	92771.03291
503	92756.39357
504	92738.05371
505	92734.30814
506	92721.16339
507	92707.48837
508	92690.96127
509	92675.21378
510	92648.97209
511	92634.54246
512	92619.25663
513	92606.98171
514	92597.87999
515	92591.38968
516	92582.08836
517	92570.3969
518	92552.50586
519	92536.72846
520	92526.99878
521	92514.7293
522	92512.00952
523	92501.39683
524	92480.94993
525	92464.80301
526	92444.40669
527	92432.26019
528	92417.49655
529	92401.79429
530	92387.33971
531	92373.62917
532	92356.81913
533	92345.46187
534	92331.60609
535	92320.37143
536	92314.12485
537	92296.98046
538	92296.31063
539	92286.73485
540	92272.48109
541	92261.37322
542	92249.37866
543	92234.97013
544	92205.43347
545	92203.04296
546	92200.45007
547	92186.809
548	92178.18824
549	92164.64733
550	92154.49335
551	92139.187
552	92130.12504
553	92116.08638
554	92102.51767
555	92087.72219
556	92064.14637
557	92048.49555
558	92030.115
559	92011.18272
560	92000.36885
561	91978.16147
562	91966.03367
563	91955.26581
564	91946.10095
565	91934.94736
566	91919.09529
567	91908.1677
